estado,municipio,bioma,ano,mês,dia
MARANHÃO,CAXIAS,Cerrado,2017,01,13
PARÁ,DOM ELISEU,Amazônia,2017,01,13
BAHIA,BOA NOVA,Mata Atlântica,2017,01,12
RIO GRANDE DO NORTE,JUCURUTU,Caatinga,2017,01,13
MATO GROSSO,CUIABÁ,Cerrado,2017,01,13
MATO GROSSO DO SUL,ANGÉLICA,Mata Atlântica,2017,01,13
MATO GROSSO DO SUL,NOVO HORIZONTE DO SUL,Mata Atlântica,2017,01,13
MATO GROSSO DO SUL,ITAQUIRAÍ,Mata Atlântica,2017,01,13
MATO GROSSO DO SUL,NOVA ALVORADA DO SUL,Cerrado,2017,01,13
MATO GROSSO DO SUL,DOIS IRMÃOS DO BURITI,Cerrado,2017,01,13
PARANÁ,SANTA MÔNICA,Mata Atlântica,2017,01,13
SÃO PAULO,CRUZÁLIA,Mata Atlântica,2017,01,13
MATO GROSSO DO SUL,NOVA ANDRADINA,Mata Atlântica,2017,01,13
MATO GROSSO DO SUL,RIO BRILHANTE,Cerrado,2017,01,13
GOIÁS,MONTES CLAROS DE GOIÁS,Cerrado,2017,01,13
MATO GROSSO DO SUL,CORUMBÁ,Pantanal,2017,01,13
GOIÁS,MONTIVIDIU,Cerrado,2017,01,13
BAHIA,RUY BARBOSA,Caatinga,2017,01,12
BAHIA,ITABERABA,Caatinga,2017,01,12
BAHIA,ITAMARI,Mata Atlântica,2017,01,12
BAHIA,TAPEROÁ,Mata Atlântica,2017,01,12
CEARÁ,BARBALHA,Caatinga,2017,01,12
PERNAMBUCO,PARNAMIRIM,Caatinga,2017,01,12
PERNAMBUCO,SANTA MARIA DA BOA VISTA,Caatinga,2017,01,12
MARANHÃO,PARNARAMA,Cerrado,2017,01,12
PIAUÍ,PICOS,Caatinga,2017,01,12
TOCANTINS,TUPIRATINS,Cerrado,2017,01,12
TOCANTINS,SÃO BENTO DO TOCANTINS,Cerrado,2017,01,12
TOCANTINS,PONTE ALTA DO BOM JESUS,Cerrado,2017,01,12
TOCANTINS,GOIATINS,Cerrado,2017,01,12
PIAUÍ,SANTA CRUZ DO PIAUÍ,Caatinga,2017,01,12
PARANÁ,PRUDENTÓPOLIS,Mata Atlântica,2017,01,15
SANTA CATARINA,SANTA ROSA DE LIMA,Mata Atlântica,2017,01,15
PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,2017,01,15
SANTA CATARINA,ANITA GARIBALDI,Mata Atlântica,2017,01,15
PARANÁ,CERRO AZUL,Mata Atlântica,2017,01,15
SANTA CATARINA,GARUVA,Mata Atlântica,2017,01,15
PARANÁ,QUITANDINHA,Mata Atlântica,2017,01,15
SANTA CATARINA,PONTE ALTA,Mata Atlântica,2017,01,15
PARANÁ,ESPIGÃO ALTO DO IGUAÇU,Mata Atlântica,2017,01,15
PARANÁ,ITAPERUÇU,Mata Atlântica,2017,01,15
PARANÁ,CAMPINA DO SIMÃO,Mata Atlântica,2017,01,15
MARANHÃO,PARNARAMA,Cerrado,2017,01,07
SÃO PAULO,ARAÇARIGUAMA,Mata Atlântica,2017,01,08
MINAS GERAIS,PASSOS,Cerrado,2017,01,08
MINAS GERAIS,IBIÁ,Cerrado,2017,01,08
MINAS GERAIS,GUARDA-MOR,Cerrado,2017,01,08
MATO GROSSO DO SUL,NAVIRAÍ,Mata Atlântica,2017,01,06
SÃO PAULO,BOA ESPERANÇA DO SUL,Cerrado,2017,01,06
GOIÁS,ARUANÃ,Cerrado,2017,01,06
MATO GROSSO DO SUL,CORUMBÁ,Pantanal,2017,01,06
TOCANTINS,ARAGUAÇU,Cerrado,2017,01,06
MATO GROSSO,FELIZ NATAL,Amazônia,2017,01,06
MATO GROSSO,PEIXOTO DE AZEVEDO,Amazônia,2017,01,06
TOCANTINS,SANTA RITA DO TOCANTINS,Cerrado,2017,01,06
MATO GROSSO,UNIÃO DO SUL,Amazônia,2017,01,06
GOIÁS,MUTUNÓPOLIS,Cerrado,2017,01,12
PARÁ,FLORESTA DO ARAGUAIA,Amazônia,2017,01,12
PARÁ,SÃO GERALDO DO ARAGUAIA,Amazônia,2017,01,12
TOCANTINS,ARAGUAÇU,Cerrado,2017,01,12
TOCANTINS,PEIXE,Cerrado,2017,01,12
MATO GROSSO,RIBEIRÃO CASCALHEIRA,Cerrado,2017,01,12
