estado,municipio,bioma,ano,mês,dia,estacao
BAHIA,LENÇÓIS,Caatinga,2024,1,1,Verão
MATO GROSSO DO SUL,CORUMBÁ,Pantanal,2024,1,1,Verão
BAHIA,SANTA CRUZ CABRÁLIA,Mata Atlântica,2024,1,1,Verão
BAHIA,SANTA LUZIA,Mata Atlântica,2024,1,1,Verão
BAHIA,CAATIBA,Mata Atlântica,2024,1,1,Verão
BAHIA,BOA NOVA,Mata Atlântica,2024,1,1,Verão
BAHIA,WENCESLAU GUIMARÃES,Mata Atlântica,2024,1,1,Verão
BAHIA,BOA VISTA DO TUPIM,Caatinga,2024,1,1,Verão
MATO GROSSO,NOVA MARINGÁ,Amazônia,2024,1,1,Verão
PARÁ,PRAINHA,Amazônia,2024,1,1,Verão
RORAIMA,BOA VISTA,Amazônia,2024,1,1,Verão
BAHIA,PINDOBAÇU,Caatinga,2024,1,1,Verão
CEARÁ,BREJO SANTO,Caatinga,2024,1,1,Verão
BAHIA,CAPIM GROSSO,Caatinga,2024,1,1,Verão
BAHIA,FILADÉLFIA,Caatinga,2024,1,1,Verão
SERGIPE,LAGARTO,Caatinga,2024,1,1,Verão
PERNAMBUCO,SIRINHAÉM,Mata Atlântica,2024,1,1,Verão
BAHIA,BELMONTE,Mata Atlântica,2024,1,1,Verão
BAHIA,CANAVIEIRAS,Mata Atlântica,2024,1,1,Verão
BAHIA,CAMAÇARI,Mata Atlântica,2024,1,1,Verão
MINAS GERAIS,MONTES CLAROS,Cerrado,2024,1,1,Verão
MINAS GERAIS,CAPITÃO ENÉAS,Cerrado,2024,1,1,Verão
BAHIA,UNA,Mata Atlântica,2024,1,1,Verão
BAHIA,PALMEIRAS,Caatinga,2024,1,1,Verão
MATO GROSSO,NOVA UBIRATÃ,Amazônia,2024,1,1,Verão
BAHIA,ANAGÉ,Caatinga,2024,1,1,Verão
BAHIA,UTINGA,Caatinga,2024,1,1,Verão
BAHIA,TAPEROÁ,Mata Atlântica,2024,1,1,Verão
SÃO PAULO,CERQUEIRA CÉSAR,Cerrado,2024,1,1,Verão
SÃO PAULO,JARINU,Mata Atlântica,2024,1,1,Verão
PARANÁ,RIO BRANCO DO SUL,Mata Atlântica,2024,1,1,Verão
RIO GRANDE DO SUL,PIRATINI,Pampa,2024,1,1,Verão
PARÁ,DOM ELISEU,Amazônia,2024,1,1,Verão
PARÁ,SANTARÉM,Amazônia,2024,1,1,Verão
GOIÁS,BARRO ALTO,Cerrado,2024,1,1,Verão
GOIÁS,NOVO GAMA,Cerrado,2024,1,1,Verão
MATO GROSSO,MARCELÂNDIA,Amazônia,2024,1,1,Verão
SÃO PAULO,MAIRINQUE,Mata Atlântica,2024,1,1,Verão
PARANÁ,FIGUEIRA,Mata Atlântica,2024,1,1,Verão
PARANÁ,RANCHO ALEGRE,Mata Atlântica,2024,1,1,Verão
RIO GRANDE DO SUL,SÃO LUIZ GONZAGA,Pampa,2024,1,1,Verão
RORAIMA,RORAINÓPOLIS,Amazônia,2024,1,1,Verão
RORAIMA,CARACARAÍ,Amazônia,2024,1,1,Verão
RORAIMA,BONFIM,Amazônia,2024,1,1,Verão
RORAIMA,MUCAJAÍ,Amazônia,2024,1,1,Verão
RORAIMA,PACARAIMA,Amazônia,2024,1,1,Verão
PARÁ,ÓBIDOS,Amazônia,2024,1,1,Verão
RORAIMA,ALTO ALEGRE,Amazônia,2024,1,1,Verão
MATO GROSSO,ARIPUANÃ,Amazônia,2024,1,1,Verão
MATO GROSSO,PONTES E LACERDA,Amazônia,2024,1,1,Verão
MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,2024,1,1,Verão
MATO GROSSO,VILA BELA DA SANTÍSSIMA TRINDADE,Amazônia,2024,1,1,Verão
RONDÔNIA,VALE DO ANARI,Amazônia,2024,1,1,Verão
PARÁ,JURUTI,Amazônia,2024,1,1,Verão
BAHIA,BIRITINGA,Caatinga,2024,1,1,Verão
PERNAMBUCO,TAMANDARÉ,Mata Atlântica,2024,1,1,Verão
SERGIPE,CAPELA,Mata Atlântica,2024,1,1,Verão
BAHIA,ADUSTINA,Caatinga,2024,1,1,Verão
BAHIA,PORTO SEGURO,Mata Atlântica,2024,1,1,Verão
BAHIA,CAPELA DO ALTO ALEGRE,Caatinga,2024,1,1,Verão
BAHIA,PINTADAS,Caatinga,2024,1,1,Verão
BAHIA,BAIXA GRANDE,Caatinga,2024,1,1,Verão
BAHIA,IPIRÁ,Caatinga,2024,1,1,Verão
PARÁ,URUARÁ,Amazônia,2024,1,1,Verão
BAHIA,RIACHÃO DO JACUÍPE,Caatinga,2024,1,1,Verão
BAHIA,PÉ DE SERRA,Caatinga,2024,1,1,Verão
MATO GROSSO,POCONÉ,Pantanal,2024,1,1,Verão
MATO GROSSO,PARANATINGA,Amazônia,2024,1,1,Verão
RORAIMA,AMAJARI,Amazônia,2024,1,1,Verão
BAHIA,NOVA FÁTIMA,Caatinga,2024,1,1,Verão
BAHIA,SERRA PRETA,Caatinga,2024,1,1,Verão
BAHIA,APORÁ,Caatinga,2024,1,1,Verão
ALAGOAS,CACIMBINHAS,Caatinga,2024,1,1,Verão
